Settlement Date,Spot Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
06/07/2019 19:30,77.38,9271.99,8355.79,658.22,-254.64,Actual
06/07/2019 20:00,78.46,9102.13,8213.09,704.23,-180.06,Actual
06/07/2019 20:30,79.41,9001.04,7999.69,703.91,-292.12,Actual
06/07/2019 21:00,84.02,8885.38,7843.04,752.77,-279.83,Actual
06/07/2019 21:30,77.32,8751.95,7658.03,801.18,-284.41,Actual
06/07/2019 22:00,75.03,8613.53,7514.38,856.76,-234.72,Actual
06/07/2019 22:30,71.26,8534.35,7383.32,855.14,-293.39,Actual
06/07/2019 23:00,59.2,8305.38,6994.89,883.23,-421.12,Actual
06/07/2019 23:30,64.89,8221.22,7063.12,886.84,-268.1,Actual
07/07/2019 00:00,57.33,8043.66,6986.37,848.9,-203.2,Actual
07/07/2019 00:30,48.2,7749.17,6595.14,860.38,-291.75,Actual
07/07/2019 01:00,39.69,7567.46,6323.07,864.56,-376.55,Actual
07/07/2019 01:30,29.67,7581.46,6087.65,848.88,-634.59,Actual
07/07/2019 02:00,30.38,7403.96,5776.71,849.53,-761.89,Actual
07/07/2019 02:30,31.91,7161.66,5523.41,864.19,-754.56,Actual
07/07/2019 03:00,22.11,6976.37,5261.62,879.55,-809.99,Actual
07/07/2019 03:30,41.59,7046.94,5341.39,904.81,-778.37,Actual
07/07/2019 04:00,32.04,6995.59,5309.8,877.48,-786.1,Actual
07/07/2019 04:30,39.08,6945.53,5303.58,870.83,-746.22,Actual
07/07/2019 05:00,38.87,6969.66,5423.89,864.01,-658.22,Actual
07/07/2019 05:30,46.99,7071.8,5772.25,855.67,-430.11,Actual
07/07/2019 06:00,53.04,7011.55,5976.53,852.95,-178.03,Actual
07/07/2019 06:30,49.65,7250.74,6135.95,844.41,-267.77,Actual
07/07/2019 07:00,45.53,7359.86,6385.97,835.78,-136.76,Actual
07/07/2019 07:30,53.21,7651.29,6732.81,766.25,-150.45,Actual
07/07/2019 08:00,57.81,7889.56,7032.83,708.44,-143.71,Actual
07/07/2019 08:30,62.13,8172.61,7118.04,691.07,-348.84,Actual
07/07/2019 09:00,65.89,8393.16,7310.67,687.48,-374.03,Actual
07/07/2019 09:30,68.27,8456.26,7183.45,682.44,-570.94,Actual
07/07/2019 10:00,69.68,8415.23,7137.58,632.04,-620.32,Actual
07/07/2019 10:30,71.67,8355.61,7067.87,587.64,-666.74,Actual
07/07/2019 11:00,66.57,8090.68,6866.99,540.86,-650.74,Actual
07/07/2019 11:30,65.09,7914.58,6828.36,501.71,-555.8,Actual
07/07/2019 12:00,60.73,7682.85,6792.43,452.6,-421.54,Actual
07/07/2019 12:30,56.93,7473.02,6680.16,445.01,-335.02,Actual
07/07/2019 13:00,58,7359.59,6643.67,398.93,-305.22,Actual
07/07/2019 13:30,56.59,7244.96,6588.34,343.34,-300.72,Actual
07/07/2019 14:00,58,7267.54,6673.21,330.58,-253.96,Actual
07/07/2019 14:30,60.6,7323.08,6787.39,271.66,-254.52,Actual
07/07/2019 15:00,66.94,7436.86,6856.16,179.27,-386.36,Actual
07/07/2019 15:30,72.43,7655.66,7063.93,140.59,-433.31,Actual
07/07/2019 16:00,79.48,7911.7,7401.68,99.97,-396.67,Actual
07/07/2019 16:30,76.49,8273.05,7722.76,91.4,-446.63,Actual
07/07/2019 17:00,75.18,8751.3,8191.96,122.45,-428.39,Actual
07/07/2019 17:30,90.69,9290.06,8535.4,176.66,-565.46,Actual
07/07/2019 18:00,119.11,9758.35,8863.13,233.59,-650.82,Actual
07/07/2019 18:30,117.39,9814,8888.01,275.78,-640.88,Actual
07/07/2019 19:00,94.23,9679.84,8823.82,322.68,-525.53,Actual
07/07/2019 19:30,88.62914,9550.84,8785.055,345.895,-414.91,Forecast
07/07/2019 20:00,85.03,9397.69,8598.641,358.549,-432.6,Forecast
07/07/2019 20:30,85.03,9261.53,8480.641,372.449,-399.84,Forecast
07/07/2019 21:00,85.03,9113.72,8373.283,385.187,-346.61,Forecast
07/07/2019 21:30,85.03,8921.35,8275.51,405.3,-233.22,Forecast
07/07/2019 22:00,77,8716.39,8062.075,434.545,-207.98,Forecast
07/07/2019 22:30,77,8525.85,7843.994,424.516,-247.02,Forecast
07/07/2019 23:00,71.4875,8290.41,7731.997,433.433,-119.14,Forecast
07/07/2019 23:30,69.50506,8137.24,7647.85,438.67,-42.98,Forecast
08/07/2019 00:00,68.89,7982.08,7461.745,448.715,-52.96,Forecast
08/07/2019 00:30,68,7807.36,7117.682,459.348,-216.04,Forecast
08/07/2019 01:00,68.89,7670.72,7288.006,476.084,129.19,Forecast
08/07/2019 01:30,68.42,7480.72,6902.796,470.954,-76.06,Forecast
08/07/2019 02:00,68.42,7312.76,6579.805,464.525,-240.15,Forecast
08/07/2019 02:30,68,7093.59,6390.774,458.206,-213.27,Forecast
08/07/2019 03:00,58.02007,6884.8,6274.154,446.896,-146.95,Forecast
08/07/2019 03:30,58,6774.02,6128.098,431.542,-203.89,Forecast
08/07/2019 04:00,58,6715.03,5987.776,420.594,-297.41,Forecast
08/07/2019 04:30,57.86059,6940.71,6275.996,385.944,-271,Forecast
08/07/2019 05:00,52.10332,7067.45,6575.996,363.584,-121.9,Forecast
08/07/2019 05:30,58.02005,7378.94,7008.514,354.706,-6.3,Forecast
08/07/2019 06:00,58.23658,7576.73,7603.004,346.276,385.42,Forecast
08/07/2019 06:30,61.29293,8240.1,8079.005,337.335,197.12,Forecast
08/07/2019 07:00,76.79727,8893.59,8323.004,321.466,-216.8,Forecast
08/07/2019 07:30,90.41065,9453.8,8929.999,235.151,-238.13,Forecast
08/07/2019 08:00,98,9840.42,9133.081,249.369,-406.9,Forecast
08/07/2019 08:30,114.07048,9994.28,9230.005,279.965,-430.68,Forecast
08/07/2019 09:00,104.05424,9895.32,9229.997,311.043,-291.42,Forecast
08/07/2019 09:30,92.58031,9745.94,8990,355.87,-338.47,Forecast
08/07/2019 10:00,89.75661,9568.02,8770.001,394.069,-342.42,Forecast
08/07/2019 10:30,91.29052,9428.67,8569.995,438.435,-359.8,Forecast
08/07/2019 11:00,85.82815,9250.96,8509.997,477.983,-193.73,Forecast
08/07/2019 11:30,77.75,9031.59,8183.778,517.662,-265.22,Forecast
08/07/2019 12:00,76.45069,8859.92,7882.998,557.882,-361.84,Forecast
08/07/2019 12:30,74.75717,8763.11,7882.998,592.142,-228.16,Forecast
08/07/2019 13:00,71.84858,8664.43,7850.852,621.688,-133.9,Forecast
08/07/2019 13:30,70,8607.45,7839.482,607.828,-114.81,Forecast
08/07/2019 14:00,73.16347,8608.56,7847.997,591.953,-116.59,Forecast
08/07/2019 14:30,72.68274,8594.39,7883.225,574.215,-93.02,Forecast
08/07/2019 15:00,76.26843,8630.95,7948.998,550.452,-98.01,Forecast
08/07/2019 15:30,76.76623,8724.68,8016.001,516.659,-160.24,Forecast
08/07/2019 16:00,77.75,8912.11,8414.606,469.414,2.75,Forecast
08/07/2019 16:30,85.82731,9271.44,8681.003,408.027,-114.92,Forecast
08/07/2019 17:00,98.37401,9682.12,8995.997,334.593,-297.48,Forecast
08/07/2019 17:30,272.57751,10287.63,9180.003,307.447,-751.43,Forecast
08/07/2019 18:00,287.56,10794.06,9528.2,299.75,-936.3,Forecast
08/07/2019 18:30,299.6,10959.84,9874.664,299.556,-757.34,Forecast
08/07/2019 19:00,299.6,10898.63,9787.53,295.42,-785.56,Forecast
08/07/2019 19:30,287.56,10712.85,9356.066,301.024,-1017.24,Forecast
08/07/2019 20:00,248.39069,10512.83,8995.122,303.868,-1171.98,Forecast
08/07/2019 20:30,294.5748,10304.2,8879.997,308.103,-1087.42,Forecast
08/07/2019 21:00,125.88716,10081.92,8879.998,308.842,-872.47,Forecast
08/07/2019 21:30,98,9817.14,8601.868,311.592,-878.13,Forecast
08/07/2019 22:00,82.75486,9501.62,8407.001,315.659,-747.92,Forecast
08/07/2019 22:30,92.02983,9321.79,8339.997,301.703,-631.97,Forecast
08/07/2019 23:00,85.03,9016.01,8117.25,307.05,-548.6,Forecast
08/07/2019 23:30,81.36599,8802.9,8055,312.77,-396.9,Forecast
09/07/2019 00:00,77.63342,8654.32,7930.996,317.434,-367.77,Forecast
09/07/2019 00:30,77,8474.92,7842.354,324.096,-273.02,Forecast
09/07/2019 01:00,71.60676,8287.78,7660.005,329.805,-258.31,Forecast
09/07/2019 01:30,71.20287,8077.54,7566,333.29,-140.13,Forecast
09/07/2019 02:00,68.42,7859.3,7232.244,337.516,-251.45,Forecast
09/07/2019 02:30,65.71361,7544.73,7005.996,341.594,-165.7,Forecast
09/07/2019 03:00,58.64071,7281.09,6914.521,345.349,-1.78,Forecast
09/07/2019 03:30,57.84618,7101.42,6681.004,349.256,-58.46,Forecast
09/07/2019 04:00,48,6995.47,6590.582,354.548,-44.41,Forecast
