Settlement Date,Spot Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
04/07/2019 13:30,69.64,8595.29,7542.12,878.95,-158.88,Actual
04/07/2019 14:00,70.02,8573.18,7673.52,875.25,-15.94,Actual
04/07/2019 14:30,71.88,8642.02,7728.56,824.03,-80.99,Actual
04/07/2019 15:00,72.03,8675.05,7897.49,765.63,-6.47,Actual
04/07/2019 15:30,69.03,8713.83,7927.6,753.93,-31.35,Actual
04/07/2019 16:00,72.02,8972.22,8263.25,701.77,-4.08,Actual
04/07/2019 16:30,74.44,9271.4,8499.34,675.73,-87.66,Actual
04/07/2019 17:00,99.04,9782.78,9037.19,546.23,-176.65,Actual
04/07/2019 17:30,90.58,10294.95,9477.75,455.46,-320.44,Actual
04/07/2019 18:00,98.95,10751.54,9797.61,481.44,-427.98,Actual
04/07/2019 18:30,87.04,10778.02,9900.57,547.04,-296,Actual
04/07/2019 19:00,87.2,10669.43,9813.67,596.63,-218.99,Actual
04/07/2019 19:30,83.83,10494.78,9552.99,664.03,-245.12,Actual
04/07/2019 20:00,86.62,10290.26,9257.16,732.16,-278.3,Actual
04/07/2019 20:30,81.47,10185.92,9094.61,780.34,-290.43,Actual
04/07/2019 21:00,79.97,9985.54,8878.51,799.29,-287.1,Actual
04/07/2019 21:30,77.35,9688.19,8588.8,799.71,-274,Actual
04/07/2019 22:00,71.95,9304.49,8204.12,812.31,-270.62,Actual
04/07/2019 22:30,72.85,9203.25,7916.25,828.97,-445.22,Actual
04/07/2019 23:00,67.22,8862.52,7606.7,855.55,-398.41,Actual
04/07/2019 23:30,67.54,8694.46,7340.67,878.67,-467.72,Actual
05/07/2019 00:00,68.44,8526.56,7057.16,890.76,-561.5,Actual
05/07/2019 00:30,65.56,8353,6883.45,892.71,-561.3,Actual
05/07/2019 01:00,66.08,8170.06,6617.85,841.21,-693.59,Actual
05/07/2019 01:30,58.4,7902.16,6242.94,806.69,-836.04,Actual
05/07/2019 02:00,52.83,7643.06,5796.55,826.54,-997.99,Actual
05/07/2019 02:30,44.02,7414.46,5471.35,889.03,-1031.61,Actual
05/07/2019 03:00,43.62,7227.85,5309.84,895.41,-1001.29,Actual
05/07/2019 03:30,40.68,6993.37,5175.98,913.35,-886.95,Actual
